                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.95252,                 1.2737,                 1.3895,                 1.0196,                 1.4367,                 1.4057,                0.65922,                0.59266,                0.64387,                0.48707,                0.86527,                 1.0735,                 1.3483,                0.93506,                 1.1999,                 1.3768,              0.0008812,              0.0008812,              0.0008812
                     39,                0.93074,                 1.2628,                 1.3723,                 1.0023,                 1.4363,                 1.4026,                0.69112,                0.55672,                0.63278,                0.48112,                0.86875,                 1.1093,                  1.343,                0.94674,                 1.2257,                 1.3869,              0.0008779,              0.0008779,              0.0008779
                     40,                0.92816,                 1.2288,                 1.3705,                0.99875,                 1.3934,                 1.3971,                0.62009,                 0.6449,                0.66208,                0.50972,                0.84564,                 1.0094,                 1.3169,                0.91818,                 1.1297,                 1.3475,              0.0008746,              0.0008746,              0.0008746
                     41,                0.92757,                 1.2531,                 1.3741,                0.99296,                 1.4268,                 1.3925,                0.62655,                0.61225,                 0.6432,                0.49236,                0.84767,                 1.0354,                 1.3117,                0.90359,                 1.1648,                 1.3359,              0.0008713,              0.0008713,              0.0008713
                     42,                0.92571,                 1.2347,                 1.3689,                0.99592,                  1.395,                 1.3928,                 0.6334,                0.61004,                0.64958,                0.49994,                0.85245,                 1.0164,                 1.3237,                 0.9176,                 1.1464,                  1.352,               0.000868,               0.000868,               0.000868
                     43,                0.92067,                 1.2162,                 1.3634,                0.98796,                 1.3792,                 1.3775,                0.69695,                0.58365,                0.66701,                0.51103,                0.83832,                  1.011,                 1.3153,                0.89655,                 1.1467,                 1.3343,              0.0008647,              0.0008647,              0.0008647
                     44,                 0.9089,                 1.2064,                 1.3584,                0.97724,                 1.3678,                 1.3772,                0.60071,                0.63336,                0.64844,                 0.4935,                 0.8353,                 1.1125,                 1.3134,                0.90732,                 1.2016,                 1.3412,              0.0008614,              0.0008614,              0.0008614
                     45,                0.90467,                 1.1934,                 1.3543,                0.97625,                 1.3583,                 1.3725,                0.68106,                0.56552,                0.65265,                0.50161,                0.83504,                 1.0497,                 1.3144,                0.88762,                 1.1505,                 1.3334,              0.0008581,              0.0008581,              0.0008581
                     46,                0.89357,                 1.1814,                 1.3407,                0.96179,                 1.3406,                  1.362,                0.65412,                0.65096,                0.68719,                0.53114,                0.82385,                0.96415,                 1.2932,                 0.8847,                 1.0605,                 1.3268,              0.0008548,              0.0008548,              0.0008548
                     47,                0.89238,                 1.1701,                   1.34,                0.96394,                 1.3388,                 1.3678,                0.66306,                0.65113,                0.69093,                0.53394,                0.82038,                0.98252,                 1.2863,                0.86846,                 1.0935,                 1.3047,              0.0008515,              0.0008515,              0.0008515
                     48,                0.89026,                 1.1554,                 1.3386,                0.95924,                 1.3187,                 1.3632,                0.69039,                0.58605,                0.66274,                0.51224,                0.82212,                0.98388,                  1.296,                 0.8797,                 1.1121,                 1.3284,              0.0008482,              0.0008482,              0.0008482
                     49,                0.90228,                 1.1693,                 1.3498,                0.97495,                 1.3265,                 1.3698,                0.65514,                0.63114,                 0.6843,                0.52916,                0.83431,                0.98448,                 1.3131,                0.88834,                 1.1221,                 1.3387,              0.0008449,              0.0008449,              0.0008449
                     50,                0.88456,                 1.1452,                  1.326,                0.94824,                 1.3019,                 1.3443,                0.69921,                0.64485,                0.69862,                0.54029,                0.81701,                0.94666,                  1.285,                0.88365,                 1.0594,                 1.3192,              0.0008416,              0.0008416,              0.0008416
                     51,                0.89306,                 1.1457,                 1.3399,                 0.9588,                 1.3023,                 1.3646,                0.67486,                0.63226,                0.69274,                 0.5327,                 0.8256,                0.97071,                 1.2847,                 0.8885,                 1.0765,                 1.3256,              0.0008383,              0.0008383,              0.0008383
                     52,                0.88468,                 1.1322,                 1.3326,                0.94968,                 1.2867,                 1.3533,                 0.6425,                0.68051,                0.69668,                0.53926,                0.82738,                 0.9373,                 1.2849,                0.88866,                 1.0455,                  1.315,               0.000835,               0.000835,               0.000835
                     53,                0.86852,                 1.1304,                  1.315,                 0.9454,                 1.2738,                 1.3444,                0.69036,                0.63142,                0.69681,                0.53813,                0.82589,                0.94106,                   1.29,                0.87622,                 1.0652,                 1.3055,              0.0008317,              0.0008317,              0.0008317
                     54,                0.86911,                 1.1188,                 1.3134,                0.94001,                 1.2845,                 1.3361,                0.69062,                0.66713,                0.71968,                0.55939,                0.80261,                 0.9074,                 1.2743,                0.86842,                0.99989,                 1.3073,              0.0008284,              0.0008284,              0.0008284
                     55,                0.85533,                 1.0918,                 1.3019,                0.92784,                 1.2466,                  1.323,                0.69543,                0.66048,                0.70926,                0.55508,                0.80234,                0.92965,                 1.2693,                 0.8551,                 1.0234,                 1.2935,              0.0008251,              0.0008251,              0.0008251
                     56,                 0.8537,                 1.0936,                 1.3022,                0.92506,                 1.2435,                 1.3279,                 0.6837,                0.63429,                0.70301,                0.55159,                 0.8003,                0.94445,                 1.2707,                0.86695,                 1.0695,                 1.3115,              0.0008218,              0.0008218,              0.0008218
                     57,                0.85075,                 1.0914,                 1.2992,                0.92282,                 1.2422,                  1.326,                0.71775,                0.64633,                0.69816,                0.54189,                0.81453,                0.95329,                 1.2765,                0.86596,                 1.0571,                 1.2968,              0.0008185,              0.0008185,              0.0008185
